ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:MRK170217C00057500,2017-01-17,2017-02-17,MRK,C,57.5,19,4.55,4.25,-4.01,YES,4.4,7.35,4.25,7.09,4.55,4.25,4,1484629200000000000,31,Monthly,59.76,59.33,59.9,59.06,59.9,63.11,63.27,63.27,0.0065,4.4,7.6,0.42,0.61
O:MRK170217C00060000,2017-01-17,2017-02-17,MRK,C,60.0,668,2.68,2.36,0.17,YES,2.5,4.17,2.3,3.84,2.7,2.3,108,1484629200000000000,31,Monthly,59.76,59.33,59.9,59.06,59.9,63.11,63.27,63.27,0.0065,2.5,4.51,0.34,0.48
O:MRK170217C00062500,2017-01-17,2017-02-17,MRK,C,62.5,308,1.4,0.99,4.34,YES,1.16,1.94,0.93,1.55,1.4,0.93,148,1484629200000000000,31,Monthly,59.76,59.33,59.9,59.06,59.9,63.11,63.27,63.27,0.0065,1.16,2.34,0.28,0.29
O:MRK170217C00065000,2017-01-17,2017-02-17,MRK,C,65.0,129,0.36,0.29,8.51,NO,0.32,0.53,0.28,0.47,0.36,0.28,26,1484629200000000000,31,Monthly,59.76,59.33,59.9,59.06,59.9,63.11,63.27,63.27,0.0065,0.32,0.6,0.25,0.12
O:MRK170217C00070000,2017-01-17,2017-02-17,MRK,C,70.0,8,0.1,0.03,16.86,NO,0.06,0.11,0.03,0.05,0.1,0.03,2,1484629200000000000,31,Monthly,59.76,59.33,59.9,59.06,59.9,63.11,63.27,63.27,0.0065,0.06,0.17,0.25,0.02
O:MRK170217C00050000,2017-01-18,2017-02-17,MRK,C,50.0,60,11.47,11.47,-16.14,YES,11.47,19.24,11.47,19.24,11.47,11.47,1,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,11.47,19.24,0.85,0.73
O:MRK170217C00052500,2017-01-18,2017-02-17,MRK,C,52.5,2,9.23,8.6,-11.94,YES,8.91,14.95,8.6,14.42,9.23,8.6,2,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,8.91,15.48,0.64,0.73
O:MRK170217C00055000,2017-01-18,2017-02-17,MRK,C,55.0,2,6.31,6.2,-7.75,YES,6.26,10.49,6.2,10.4,6.31,6.2,2,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,6.26,10.58,0.52,0.68
O:MRK170217C00060000,2017-01-18,2017-02-17,MRK,C,60.0,70,2.33,2.13,0.64,YES,2.32,3.88,2.13,3.57,2.5,2.13,13,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,2.32,4.19,0.34,0.46
O:MRK170217C00062500,2017-01-18,2017-02-17,MRK,C,62.5,313,0.97,0.81,4.83,YES,0.9,1.52,0.79,1.33,1.02,0.79,108,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,0.9,1.71,0.27,0.26
O:MRK170217C00065000,2017-01-18,2017-02-17,MRK,C,65.0,193,0.25,0.21,9.02,NO,0.24,0.4,0.2,0.34,0.28,0.2,22,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,0.24,0.47,0.24,0.1
O:MRK170217C00067500,2017-01-18,2017-02-17,MRK,C,67.5,99,0.06,0.04,13.22,NO,0.05,0.08,0.04,0.07,0.06,0.04,9,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,0.05,0.1,0.22,0.02
O:MRK170217C00070000,2017-01-18,2017-02-17,MRK,C,70.0,4,0.03,0.03,17.41,NO,0.03,0.05,0.03,0.05,0.03,0.03,1,1484715600000000000,30,Monthly,59.24,59.03,59.62,58.95,59.62,63.11,63.27,63.27,0.0065,0.03,0.05,0.26,0.02
O:MRK170217C00057500,2017-01-19,2017-02-17,MRK,C,57.5,13,3.6,3.25,-2.46,YES,3.5,5.94,3.25,5.51,3.75,3.25,5,1484802000000000000,29,Monthly,58.92,58.22,58.95,57.97,58.95,63.11,63.27,63.27,0.0065,3.5,6.36,0.37,0.58
O:MRK170217C00060000,2017-01-19,2017-02-17,MRK,C,60.0,1030,1.82,1.57,1.78,YES,1.67,2.84,1.45,2.46,1.9,1.45,295,1484802000000000000,29,Monthly,58.92,58.22,58.95,57.97,58.95,63.11,63.27,63.27,0.0065,1.67,3.22,0.31,0.4
O:MRK170217C00062500,2017-01-19,2017-02-17,MRK,C,62.5,707,0.71,0.47,6.02,YES,0.58,0.98,0.45,0.76,0.71,0.45,96,1484802000000000000,29,Monthly,58.92,58.22,58.95,57.97,58.95,63.11,63.27,63.27,0.0065,0.58,1.2,0.25,0.19
O:MRK170217C00065000,2017-01-19,2017-02-17,MRK,C,65.0,662,0.16,0.12,10.26,NO,0.13,0.22,0.1,0.17,0.16,0.1,52,1484802000000000000,29,Monthly,58.92,58.22,58.95,57.97,58.95,63.11,63.27,63.27,0.0065,0.13,0.27,0.23,0.06
O:MRK170217C00067500,2017-01-19,2017-02-17,MRK,C,67.5,20,0.02,0.02,14.5,NO,0.02,0.03,0.02,0.03,0.02,0.02,1,1484802000000000000,29,Monthly,58.92,58.22,58.95,57.97,58.95,63.11,63.27,63.27,0.0065,0.02,0.03,0.22,0.01
O:MRK170217C00047500,2017-01-20,2017-02-17,MRK,C,47.5,3,15.12,15.12,-21.77,YES,15.12,24.9,15.12,24.9,15.12,15.12,1,1484888400000000000,28,Monthly,60.22,60.35,60.72,59.98,60.72,63.11,63.27,63.27,0.0065,15.12,24.9,1.09,0.75
O:MRK170217C00057500,2017-01-20,2017-02-17,MRK,C,57.5,13,5.3,5.4,-5.3,YES,5.3,8.73,5.2,8.56,5.4,5.2,8,1484888400000000000,28,Monthly,60.22,60.35,60.72,59.98,60.72,63.11,63.27,63.27,0.0065,5.3,8.89,0.54,0.61
O:MRK170217C00060000,2017-01-20,2017-02-17,MRK,C,60.0,111,2.85,3.3,-1.19,YES,3.12,5.15,2.85,4.69,3.4,2.85,16,1484888400000000000,28,Monthly,60.22,60.35,60.72,59.98,60.72,63.11,63.27,63.27,0.0065,3.12,5.6,0.44,0.52
O:MRK170217C00062500,2017-01-20,2017-02-17,MRK,C,62.5,462,1.2,1.48,2.93,YES,1.34,2.21,1.12,1.84,1.56,1.12,86,1484888400000000000,28,Monthly,60.22,60.35,60.72,59.98,60.72,63.11,63.27,63.27,0.0065,1.34,2.57,0.33,0.36
O:MRK170217C00065000,2017-01-20,2017-02-17,MRK,C,65.0,5245,0.54,0.45,7.05,NO,0.48,0.78,0.41,0.68,0.54,0.41,200,1484888400000000000,28,Monthly,60.22,60.35,60.72,59.98,60.72,63.11,63.27,63.27,0.0065,0.48,0.89,0.27,0.17
O:MRK170217C00067500,2017-01-20,2017-02-17,MRK,C,67.5,277,0.11,0.1,11.17,NO,0.1,0.16,0.08,0.13,0.11,0.08,31,1484888400000000000,28,Monthly,60.22,60.35,60.72,59.98,60.72,63.11,63.27,63.27,0.0065,0.1,0.18,0.24,0.05
O:MRK170317C00060000,2017-02-13,2017-03-17,MRK,C,60.0,6,4.45,4.7,-4.11,YES,4.58,7.31,4.45,7.11,4.7,4.45,2,1486962000000000000,32,Monthly,62.01,62.51,62.57,61.98,62.57,61.67,62.44,62.44,0.0066,4.58,7.51,0.45,0.6
O:MRK170317C00062500,2017-02-13,2017-03-17,MRK,C,62.5,76,2.24,2.62,-0.11,NO,2.43,3.88,2.24,3.58,2.62,2.24,16,1486962000000000000,32,Monthly,62.01,62.51,62.57,61.98,62.57,61.67,62.44,62.44,0.0066,2.43,4.19,0.35,0.49
O:MRK170317C00065000,2017-02-13,2017-03-17,MRK,C,65.0,1097,0.82,0.97,3.88,NO,0.92,1.47,0.82,1.31,1.02,0.82,136,1486962000000000000,32,Monthly,62.01,62.51,62.57,61.98,62.57,61.67,62.44,62.44,0.0066,0.92,1.63,0.26,0.3
O:MRK170317C00067500,2017-02-13,2017-03-17,MRK,C,67.5,214,0.2,0.24,7.88,NO,0.22,0.36,0.2,0.32,0.25,0.2,13,1486962000000000000,32,Monthly,62.01,62.51,62.57,61.98,62.57,61.67,62.44,62.44,0.0066,0.22,0.4,0.21,0.11
O:MRK170317C00070000,2017-02-13,2017-03-17,MRK,C,70.0,2,0.03,0.03,11.87,NO,0.03,0.05,0.03,0.05,0.03,0.03,1,1486962000000000000,32,Monthly,62.01,62.51,62.57,61.98,62.57,61.67,62.44,62.44,0.0066,0.03,0.05,0.19,0.02
O:MRK170317C00047500,2017-02-14,2017-03-17,MRK,C,47.5,18,17.11,17.11,-25.1,YES,17.11,26.98,17.11,26.98,17.11,17.11,1,1487048400000000000,31,Monthly,62.38,63.37,63.42,62.18,63.42,61.67,62.44,62.44,0.0066,17.11,26.98,0.95,0.82
O:MRK170317C00060000,2017-02-14,2017-03-17,MRK,C,60.0,34,5.7,5.75,-5.39,YES,5.7,8.99,5.65,8.91,5.75,5.65,5,1487048400000000000,31,Monthly,62.38,63.37,63.42,62.18,63.42,61.67,62.44,62.44,0.0066,5.7,9.07,0.53,0.61
O:MRK170317C00062500,2017-02-14,2017-03-17,MRK,C,62.5,169,2.48,3.46,-1.45,NO,2.97,4.68,2.48,3.91,3.46,2.48,28,1487048400000000000,31,Monthly,62.38,63.37,63.42,62.18,63.42,61.67,62.44,62.44,0.0066,2.97,5.46,0.4,0.53
O:MRK170317C00065000,2017-02-14,2017-03-17,MRK,C,65.0,1097,0.88,1.5,2.49,NO,1.22,1.92,0.88,1.39,1.56,0.88,83,1487048400000000000,31,Monthly,62.38,63.37,63.42,62.18,63.42,61.67,62.44,62.44,0.0066,1.22,2.46,0.29,0.37
O:MRK170317C00067500,2017-02-14,2017-03-17,MRK,C,67.5,2062,0.24,0.44,6.43,NO,0.34,0.54,0.21,0.33,0.48,0.21,226,1487048400000000000,31,Monthly,62.38,63.37,63.42,62.18,63.42,61.67,62.44,62.44,0.0066,0.34,0.76,0.23,0.17
O:MRK170317C00070000,2017-02-14,2017-03-17,MRK,C,70.0,486,0.1,0.1,10.38,NO,0.1,0.15,0.09,0.14,0.1,0.09,15,1487048400000000000,31,Monthly,62.38,63.37,63.42,62.18,63.42,61.67,62.44,62.44,0.0066,0.1,0.16,0.21,0.05
O:MRK170317C00060000,2017-02-15,2017-03-17,MRK,C,60.0,15,5.1,5.58,-5.62,YES,5.34,8.4,5.1,8.02,5.58,5.1,3,1487134800000000000,30,Monthly,62.63,62.88,63.57,62.58,63.57,61.67,62.44,62.44,0.0066,5.34,8.78,0.49,0.63
O:MRK170317C00062500,2017-02-15,2017-03-17,MRK,C,62.5,105,3.05,2.97,-1.68,NO,3.2,5.03,2.84,4.47,3.55,2.84,24,1487134800000000000,30,Monthly,62.63,62.88,63.57,62.58,63.57,61.67,62.44,62.44,0.0066,3.2,5.58,0.33,0.55
O:MRK170317C00065000,2017-02-15,2017-03-17,MRK,C,65.0,285,1.2,1.22,2.25,NO,1.28,2.02,1.1,1.73,1.47,1.1,50,1487134800000000000,30,Monthly,62.63,62.88,63.57,62.58,63.57,61.67,62.44,62.44,0.0066,1.28,2.31,0.25,0.37
O:MRK170317C00067500,2017-02-15,2017-03-17,MRK,C,67.5,588,0.35,0.34,6.18,NO,0.38,0.59,0.3,0.47,0.45,0.3,69,1487134800000000000,30,Monthly,62.63,62.88,63.57,62.58,63.57,61.67,62.44,62.44,0.0066,0.38,0.71,0.21,0.16
O:MRK170317C00070000,2017-02-15,2017-03-17,MRK,C,70.0,19,0.07,0.08,10.11,NO,0.08,0.13,0.07,0.11,0.1,0.07,4,1487134800000000000,30,Monthly,62.63,62.88,63.57,62.58,63.57,61.67,62.44,62.44,0.0066,0.08,0.16,0.2,0.05
O:MRK170317C00060000,2017-02-16,2017-03-17,MRK,C,60.0,41,5.13,5.35,-4.96,YES,5.06,8.01,4.76,7.54,5.35,4.76,9,1487221200000000000,29,Monthly,62.86,62.98,63.13,62.21,63.13,61.67,62.44,62.44,0.0066,5.06,8.48,0.51,0.61
O:MRK170317C00062500,2017-02-16,2017-03-17,MRK,C,62.5,270,2.9,2.89,-1.0,NO,2.67,4.23,2.43,3.85,2.91,2.43,20,1487221200000000000,29,Monthly,62.86,62.98,63.13,62.21,63.13,61.67,62.44,62.44,0.0066,2.67,4.61,0.36,0.52
O:MRK170317C00065000,2017-02-16,2017-03-17,MRK,C,65.0,284,1.07,1.18,2.96,NO,1.07,1.7,0.89,1.41,1.25,0.89,49,1487221200000000000,29,Monthly,62.86,62.98,63.13,62.21,63.13,61.67,62.44,62.44,0.0066,1.07,1.98,0.27,0.34
O:MRK170317C00067500,2017-02-16,2017-03-17,MRK,C,67.5,470,0.26,0.34,6.92,NO,0.28,0.45,0.23,0.36,0.34,0.23,25,1487221200000000000,29,Monthly,62.86,62.98,63.13,62.21,63.13,61.67,62.44,62.44,0.0066,0.28,0.54,0.23,0.15
O:MRK170317C00050000,2017-02-17,2017-03-17,MRK,C,50.0,25,15.22,15.14,-20.97,YES,15.18,23.99,15.14,23.93,15.22,15.14,2,1487307600000000000,28,Monthly,62.92,63.11,63.27,62.59,63.27,61.67,62.44,62.44,0.0066,15.18,24.06,1.03,0.75
O:MRK170317C00060000,2017-02-17,2017-03-17,MRK,C,60.0,21,5.15,5.27,-5.17,YES,5.21,8.23,5.15,8.14,5.27,5.15,2,1487307600000000000,28,Monthly,62.92,63.11,63.27,62.59,63.27,61.67,62.44,62.44,0.0066,5.21,8.33,0.49,0.63
O:MRK170317C00062500,2017-02-17,2017-03-17,MRK,C,62.5,35,3.0,2.84,-1.22,NO,2.9,4.58,2.8,4.43,3.0,2.8,4,1487307600000000000,28,Monthly,62.92,63.11,63.27,62.59,63.27,61.67,62.44,62.44,0.0066,2.9,4.74,0.35,0.53
O:MRK170317C00065000,2017-02-17,2017-03-17,MRK,C,65.0,705,1.12,1.17,2.73,NO,1.22,1.93,1.04,1.64,1.4,1.04,43,1487307600000000000,28,Monthly,62.92,63.11,63.27,62.59,63.27,61.67,62.44,62.44,0.0066,1.22,2.21,0.27,0.35
O:MRK170317C00067500,2017-02-17,2017-03-17,MRK,C,67.5,2118,0.32,0.31,6.69,NO,0.3,0.47,0.24,0.38,0.36,0.24,168,1487307600000000000,28,Monthly,62.92,63.11,63.27,62.59,63.27,61.67,62.44,62.44,0.0066,0.3,0.57,0.22,0.14
O:MRK170421C00060000,2017-03-20,2017-04-21,MRK,C,60.0,4,4.3,4.3,-3.3,YES,4.3,6.93,4.3,6.93,4.3,4.3,2,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,4.3,6.93,0.44,0.58
O:MRK170421C00062500,2017-03-20,2017-04-21,MRK,C,62.5,47,2.26,2.15,0.73,NO,2.2,3.55,2.15,3.46,2.26,2.15,32,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,2.2,3.64,0.32,0.45
O:MRK170421C00063500,2017-03-20,2017-04-21,MRK,C,63.5,6,1.43,1.43,2.34,NO,1.43,2.3,1.43,2.3,1.43,1.43,1,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,1.43,2.3,0.28,0.38
O:MRK170421C00064000,2017-03-20,2017-04-21,MRK,C,64.0,104,1.17,1.19,3.14,NO,1.17,1.89,1.15,1.85,1.19,1.15,8,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,1.17,1.92,0.27,0.34
O:MRK170421C00064500,2017-03-20,2017-04-21,MRK,C,64.5,213,0.93,0.88,3.95,NO,0.92,1.49,0.88,1.42,0.97,0.88,29,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.92,1.56,0.25,0.29
O:MRK170421C00065000,2017-03-20,2017-04-21,MRK,C,65.0,556,0.63,0.66,4.75,NO,0.71,1.14,0.63,1.02,0.79,0.63,55,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.71,1.27,0.23,0.24
O:MRK170421C00065500,2017-03-20,2017-04-21,MRK,C,65.5,89,0.52,0.51,5.56,NO,0.52,0.84,0.47,0.76,0.57,0.47,9,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.52,0.92,0.23,0.2
O:MRK170421C00066000,2017-03-20,2017-04-21,MRK,C,66.0,253,0.4,0.36,6.37,NO,0.4,0.64,0.36,0.58,0.44,0.36,12,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.4,0.71,0.21,0.16
O:MRK170421C00066500,2017-03-20,2017-04-21,MRK,C,66.5,23,0.3,0.28,7.17,NO,0.29,0.47,0.28,0.45,0.3,0.28,3,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.29,0.48,0.21,0.13
O:MRK170421C00067000,2017-03-20,2017-04-21,MRK,C,67.0,35,0.21,0.16,7.98,NO,0.18,0.3,0.16,0.26,0.21,0.16,7,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.18,0.34,0.19,0.09
O:MRK170421C00067500,2017-03-20,2017-04-21,MRK,C,67.5,1670,0.15,0.12,8.78,NO,0.14,0.22,0.11,0.18,0.16,0.11,45,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.14,0.26,0.19,0.07
O:MRK170421C00070000,2017-03-20,2017-04-21,MRK,C,70.0,6,0.02,0.02,12.81,NO,0.02,0.03,0.02,0.03,0.02,0.02,3,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.02,0.03,0.19,0.01
O:MRK170421C00072500,2017-03-20,2017-04-21,MRK,C,72.5,7,0.01,0.01,16.84,NO,0.01,0.02,0.01,0.02,0.01,0.01,1,1489982400000000000,32,Monthly,61.9,61.87,62.05,61.76,62.05,59.73,60.44,60.44,0.0079,0.01,0.02,0.21,0.01
O:MRK170421C00060000,2017-03-21,2017-04-21,MRK,C,60.0,5,4.26,4.26,-3.77,YES,4.26,6.83,4.26,6.83,4.26,4.26,1,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,4.26,6.83,0.41,0.61
O:MRK170421C00061000,2017-03-21,2017-04-21,MRK,C,61.0,6,3.3,3.25,-2.17,NO,3.28,5.25,3.25,5.21,3.3,3.25,2,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,3.28,5.29,0.35,0.57
O:MRK170421C00062000,2017-03-21,2017-04-21,MRK,C,62.0,6,2.62,2.49,-0.56,NO,2.56,4.1,2.49,3.99,2.62,2.49,2,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,2.56,4.2,0.32,0.51
O:MRK170421C00062500,2017-03-21,2017-04-21,MRK,C,62.5,66,2.31,2.07,0.24,NO,2.69,4.31,1.97,3.16,3.41,1.97,13,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,2.69,5.47,0.29,0.47
O:MRK170421C00063000,2017-03-21,2017-04-21,MRK,C,63.0,45,1.99,1.68,1.04,NO,2.54,4.07,1.68,2.69,3.4,1.68,20,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,2.54,5.45,0.27,0.44
O:MRK170421C00063500,2017-03-21,2017-04-21,MRK,C,63.5,28,1.51,1.49,1.84,NO,1.44,2.31,1.37,2.2,1.51,1.37,9,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,1.44,2.42,0.27,0.4
O:MRK170421C00064000,2017-03-21,2017-04-21,MRK,C,64.0,38,1.18,1.13,2.65,NO,1.14,1.82,1.09,1.75,1.18,1.09,12,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,1.14,1.89,0.25,0.35
O:MRK170421C00064500,2017-03-21,2017-04-21,MRK,C,64.5,25,0.95,0.97,3.45,NO,0.96,1.54,0.87,1.4,1.05,0.87,7,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.96,1.68,0.25,0.31
O:MRK170421C00065000,2017-03-21,2017-04-21,MRK,C,65.0,1294,0.75,0.65,4.25,NO,0.68,1.09,0.6,0.96,0.76,0.6,128,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.68,1.22,0.22,0.25
O:MRK170421C00065500,2017-03-21,2017-04-21,MRK,C,65.5,170,0.51,0.51,5.05,NO,0.5,0.79,0.48,0.77,0.51,0.48,29,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.5,0.82,0.22,0.21
O:MRK170421C00066000,2017-03-21,2017-04-21,MRK,C,66.0,55,0.36,0.36,5.85,NO,0.38,0.61,0.34,0.55,0.42,0.34,6,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.38,0.67,0.21,0.17
O:MRK170421C00066500,2017-03-21,2017-04-21,MRK,C,66.5,101,0.28,0.28,6.66,NO,0.26,0.43,0.25,0.4,0.28,0.25,15,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.26,0.45,0.2,0.14
O:MRK170421C00067000,2017-03-21,2017-04-21,MRK,C,67.0,453,0.22,0.16,7.46,NO,0.88,1.41,0.16,0.26,1.6,0.16,11,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.88,2.57,0.19,0.09
O:MRK170421C00067500,2017-03-21,2017-04-21,MRK,C,67.5,343,0.12,0.14,8.26,NO,0.12,0.2,0.11,0.18,0.14,0.11,37,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.12,0.22,0.2,0.08
O:MRK170421C00070000,2017-03-21,2017-04-21,MRK,C,70.0,11,0.02,0.03,12.27,NO,0.02,0.04,0.02,0.03,0.03,0.02,2,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.02,0.05,0.2,0.02
O:MRK170421C00072500,2017-03-21,2017-04-21,MRK,C,72.5,10,0.01,0.01,16.28,NO,0.01,0.02,0.01,0.02,0.01,0.01,1,1490068800000000000,31,Monthly,62.03,61.68,62.35,61.4,62.35,59.73,60.44,60.44,0.0079,0.01,0.02,0.21,0.01
O:MRK170421C00060000,2017-03-22,2017-04-21,MRK,C,60.0,4,3.95,3.7,-3.02,YES,3.82,6.18,3.7,5.98,3.95,3.7,2,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,3.82,6.38,0.38,0.59
O:MRK170421C00061000,2017-03-22,2017-04-21,MRK,C,61.0,2,2.85,2.85,-1.41,NO,2.85,4.61,2.85,4.61,2.85,2.85,1,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,2.85,4.61,0.34,0.54
O:MRK170421C00062000,2017-03-22,2017-04-21,MRK,C,62.0,1,2.02,2.02,0.21,NO,2.02,3.26,2.02,3.26,2.02,2.02,1,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,2.02,3.26,0.29,0.48
O:MRK170421C00062500,2017-03-22,2017-04-21,MRK,C,62.5,454,1.78,1.83,1.02,NO,1.72,2.77,1.6,2.59,1.83,1.6,16,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,1.72,2.96,0.3,0.44
O:MRK170421C00063000,2017-03-22,2017-04-21,MRK,C,63.0,32,1.41,1.52,1.83,NO,1.46,2.35,1.39,2.25,1.52,1.39,15,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,1.46,2.46,0.28,0.4
O:MRK170421C00063500,2017-03-22,2017-04-21,MRK,C,63.5,981,1.1,1.15,2.63,NO,1.11,1.79,1.04,1.68,1.18,1.04,94,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,1.11,1.91,0.26,0.35
O:MRK170421C00064000,2017-03-22,2017-04-21,MRK,C,64.0,17,0.84,0.9,3.44,NO,0.86,1.38,0.81,1.31,0.9,0.81,5,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.86,1.45,0.24,0.3
O:MRK170421C00064500,2017-03-22,2017-04-21,MRK,C,64.5,6,0.66,0.66,4.25,NO,0.66,1.07,0.66,1.07,0.66,0.66,3,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.66,1.07,0.23,0.25
O:MRK170421C00065000,2017-03-22,2017-04-21,MRK,C,65.0,501,0.77,0.49,5.06,NO,0.6,0.97,0.43,0.69,0.77,0.43,58,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.6,1.24,0.22,0.21
O:MRK170421C00065500,2017-03-22,2017-04-21,MRK,C,65.5,11,0.35,0.36,5.87,NO,0.36,0.57,0.35,0.57,0.36,0.35,2,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.36,0.58,0.21,0.17
O:MRK170421C00066000,2017-03-22,2017-04-21,MRK,C,66.0,36,0.25,0.22,6.68,NO,0.26,0.41,0.22,0.36,0.29,0.22,8,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.26,0.47,0.19,0.12
O:MRK170421C00066500,2017-03-22,2017-04-21,MRK,C,66.5,411,0.21,0.17,7.48,NO,0.18,0.3,0.16,0.26,0.21,0.16,13,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.18,0.34,0.19,0.1
O:MRK170421C00067000,2017-03-22,2017-04-21,MRK,C,67.0,2,0.18,0.18,8.29,NO,0.18,0.29,0.18,0.29,0.18,0.18,1,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.18,0.29,0.21,0.09
O:MRK170421C00067500,2017-03-22,2017-04-21,MRK,C,67.5,550,0.1,0.08,9.1,NO,0.1,0.16,0.08,0.13,0.12,0.08,32,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.1,0.19,0.19,0.05
O:MRK170421C00070000,2017-03-22,2017-04-21,MRK,C,70.0,76,0.01,0.02,13.14,NO,0.02,0.03,0.01,0.02,0.03,0.01,3,1490155200000000000,30,Monthly,61.75,61.28,61.87,61.04,61.87,59.73,60.44,60.44,0.0079,0.02,0.05,0.2,0.01
